GPU Name,Manufacturer,Benchmark,VRam (GB),TDP,MSRP
Radeon RX 6900 XT,AMD,26119,16,300,999
GeForce RTX 3090,NVIDIA,25773,24,350,1499
GeForce RTX 3080,NVIDIA,24339,10,320,699
Radeon RX 6800 XT,AMD,23622,16,300,649
GeForce RTX 3070,NVIDIA,21790,8,220,499
GeForce RTX 2080 Ti,NVIDIA,21694,11,250,999
Radeon RX 6800,AMD,20793,16,250,649
GeForce RTX 3060 Ti,NVIDIA,19727,8,200,399
GeForce RTX 2080 SUPER,NVIDIA,19503,8,250,699
Radeon RX 6700 XT,AMD,18773,12,230,479
GeForce RTX 2080,NVIDIA,18631,8,250,699
GeForce RTX 2070 SUPER,NVIDIA,18124,8,215,499
Radeon RX 5700 XT,AMD,16830,8,225,399
GeForce RTX 3060,NVIDIA,16738,12,170,329
GeForce RTX 2060 SUPER,NVIDIA,16449,6,175,399
GeForce RTX 2070,NVIDIA,16109,8,175,499
Radeon RX 5700,AMD,14652,8,180,429
Radeon RX Vega 64,AMD,14591,8,295,580
GeForce RTX 2060,NVIDIA,13859,6,160,349
Radeon RX 5600 XT,AMD,13741,6,150,279
Radeon RX Vega 56,AMD,13611,8,210,480
GeForce GTX 1660 SUPER,NVIDIA,12685,6,125,229
GeForce GTX 1660 Ti,NVIDIA,11898,6,120,279
GeForce GTX 1660,NVIDIA,11602,6,120,219
GeForce GTX 1650 SUPER,NVIDIA,9905,6,100,159
Radeon RX 580,AMD,8847,8,185,229
GeForce GTX 1650,NVIDIA,7765,6,75,149
GeForce GT 1030,NVIDIA,2615,2,30,79
Integrated,Intel,1676,0,0,0
